catalog number,Sciname
LFCC-0009394,Angiospermae
LFCC-0009392,Angiospermae
LFCC-0009391,Angiospermae
LFCC-0009390,Angiospermae
LFCC-0009395,Angiospermae
LFCC-0009288,Angiospermae
LFCC-0009276,Angiospermae
LFCC-0009270,Angiospermae
LFCC-0009274,Angiospermae
LFCC-0009283,Angiospermae
LFCC-0009285,Angiospermae
LFCC-0009284,Angiospermae
LFCC-0009152,Angiospermae
LFCC-0009154,Angiospermae
LFCC-0009159,Angiospermae
LFCC-0009144,Angiospermae
LFCC-0009160,Angiospermae
LFCC-0009161,Angiospermae
LFCC-0009162,Angiospermae
LFCC-0009163,Angiospermae
LFCC-0009164,Angiospermae
LFCC-0009166,Angiospermae
LFCC-0009425,Angiospermae
LFCC-0009169,Angiospermae
LFCC-0007233,Angiospermae
LFCC-0009168,Angiospermae
LFCC-0009167,Angiospermae
LFCC-0009179,Angiospermae
LFCC-0009422,Angiospermae
LFCC-0009421,Angiospermae
LFCC-0008764,Angiospermae
LFCC-0009171,Angiospermae
